Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
2001;42;44;56;51;57;54;60;48;54;51;70;55
2002;75;75;90;56;64;55;61;53;62;55;58;44
2003;73;55;58;53;61;48;53;65;64;74;52;73
2004;58;72;65;63;39;43;24;43;50;64;70;49
2005;71;56;71;67;63;66;64;60;74;76;72;65
2006;56;68;61;50;47;64;52;70;61;67;69;73
2007;94;70;68;73;66;59;59;57;59;57;55;45
2008;23;33;73;51;47;45;58;43;62;62;65;52
2009;61;50;52;58;64;65;70;66;68;63;75;65
2010;73;79;92;85;73;62;59;62;59;69;77;46
2011;48;50;62;62;51;57;71;71;54;62;55;52
2012;44;47;55;67;74;62;53;61;72;74;73;52
2013;66;54;65;53;57;65;57;66;77;66;77;65
2014;72;51;75;76;85;66;55;80;88;80;65;77
2015;81;86;89;74;75;78;71;78;81;106;102;110
2016;115;133;130;107;90;77;81;100;87;89;90;83
2017;97;112;112;92;88;69;82;86;75;87;85;89
2018;77;84;91;87;81;74;78;73;75;99;78;89
